Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteLogin,Chrome 66.0.3359.139,,2018-05-10 16:06:04,2018-05-10 16:06:19,15.127s,PASSED
,,,,,,
Test Cases/TestCaseEmptyUser,Chrome 66.0.3359.139,,2018-05-10 16:06:04,2018-05-10 16:06:19,14.435s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:06:05,2018-05-10 16:06:09,4.386s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:06:09,2018-05-10 16:06:17,7.436s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:06:17,2018-05-10 16:06:17,0.526s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:06:17,2018-05-10 16:06:18,0.325s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:06:18,2018-05-10 16:06:18,0.239s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:06:18,2018-05-10 16:06:19,0.910s,PASSED
