Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteLogin,Chrome 66.0.3359.139,,2018-05-10 16:10:38,2018-05-10 16:12:47,2m - 8.441s,FAILED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 16:10:39,2018-05-10 16:10:54,15.685s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:10:39,2018-05-10 16:10:44,4.259s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:10:44,2018-05-10 16:10:51,7.017s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:10:51,2018-05-10 16:10:51,0.614s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:10:51,2018-05-10 16:10:52,0.354s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:10:52,2018-05-10 16:10:52,0.363s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:10:52,2018-05-10 16:10:53,1.221s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:10:53,2018-05-10 16:10:53,0.153s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:10:53,2018-05-10 16:10:54,0.163s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:10:54,2018-05-10 16:10:54,0.883s,PASSED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 16:10:55,2018-05-10 16:11:14,19.878s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:10:55,2018-05-10 16:10:57,2.539s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:10:57,2018-05-10 16:11:04,7.064s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:11:04,2018-05-10 16:11:04,0.317s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:11:04,2018-05-10 16:11:05,0.199s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:11:05,2018-05-10 16:11:05,0.180s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:11:05,2018-05-10 16:11:06,1.210s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:11:06,2018-05-10 16:11:14,8.324s,FAILED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 16:11:14,2018-05-10 16:11:46,32.043s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:11:14,2018-05-10 16:11:17,3.014s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:11:17,2018-05-10 16:11:25,7.765s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:11:25,2018-05-10 16:11:26,0.447s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:11:26,2018-05-10 16:11:26,0.266s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:11:26,2018-05-10 16:11:26,0.178s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:11:26,2018-05-10 16:11:46,20.344s,FAILED
,,,,,,
Test Cases/TestCaseLoginAdmin,Chrome 66.0.3359.139,Test case for admin role,2018-05-10 16:11:47,2018-05-10 16:12:04,17.182s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:11:47,2018-05-10 16:11:50,3.145s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:11:50,2018-05-10 16:12:00,10.408s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:12:00,2018-05-10 16:12:01,0.362s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:12:01,2018-05-10 16:12:01,0.235s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:12:01,2018-05-10 16:12:01,0.179s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:12:01,2018-05-10 16:12:02,1.206s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:12:02,2018-05-10 16:12:03,0.213s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:12:03,2018-05-10 16:12:03,0.197s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:12:03,2018-05-10 16:12:04,0.870s,PASSED
,,,,,,
Test Cases/TestCaseIncorrectUserPass,Chrome 66.0.3359.139,Test case if there is no such user,2018-05-10 16:12:04,2018-05-10 16:12:19,15.618s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:12:04,2018-05-10 16:12:07,3.101s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:12:07,2018-05-10 16:12:16,9.229s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:12:16,2018-05-10 16:12:17,0.453s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:12:17,2018-05-10 16:12:17,0.249s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:12:17,2018-05-10 16:12:17,0.182s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:12:17,2018-05-10 16:12:19,1.225s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:12:19,2018-05-10 16:12:19,0.775s,PASSED
,,,,,,
Test Cases/TestCaseEmptyUser,Chrome 66.0.3359.139,,2018-05-10 16:12:19,2018-05-10 16:12:32,13.167s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:12:20,2018-05-10 16:12:22,2.144s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:12:22,2018-05-10 16:12:31,9.297s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:12:31,2018-05-10 16:12:31,0.325s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:12:31,2018-05-10 16:12:32,0.151s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:12:32,2018-05-10 16:12:32,0.143s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:12:32,2018-05-10 16:12:32,0.805s,PASSED
,,,,,,
Test Cases/TestCaseEmptyPassw,Chrome 66.0.3359.139,,2018-05-10 16:12:32,2018-05-10 16:12:47,14.032s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:12:33,2018-05-10 16:12:35,2.098s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:12:35,2018-05-10 16:12:45,10.095s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:12:45,2018-05-10 16:12:45,0.314s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:12:45,2018-05-10 16:12:46,0.225s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:12:46,2018-05-10 16:12:46,0.176s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:12:46,2018-05-10 16:12:47,0.793s,PASSED
