Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteLogin,Chrome 66.0.3359.139,,2018-05-10 16:44:21,2018-05-10 16:45:08,46.964s,FAILED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 16:44:22,2018-05-10 16:44:40,17.999s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:44:22,2018-05-10 16:44:28,5.912s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:44:28,2018-05-10 16:44:37,8.353s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:44:37,2018-05-10 16:44:37,0.380s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:44:37,2018-05-10 16:44:37,0.243s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:44:37,2018-05-10 16:44:37,0.157s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:44:37,2018-05-10 16:44:39,1.163s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:44:39,2018-05-10 16:44:39,0.141s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:44:39,2018-05-10 16:44:39,0.130s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:44:39,2018-05-10 16:44:40,0.813s,PASSED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 16:44:40,2018-05-10 16:45:04,24.533s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:44:40,2018-05-10 16:44:43,3.164s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:44:43,2018-05-10 16:44:51,7.817s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:44:51,2018-05-10 16:44:51,0.342s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:44:51,2018-05-10 16:44:51,0.196s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:44:51,2018-05-10 16:44:51,0.158s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:44:51,2018-05-10 16:44:53,1.166s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:44:53,2018-05-10 16:45:04,11.655s,FAILED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 16:45:04,2018-05-10 16:45:08,3.761s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:45:04,2018-05-10 16:45:08,3.746s,FAILED
