Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteLogin,Chrome 66.0.3359.139,,2018-05-10 16:47:17,2018-05-10 16:48:24,1m - 7.302s,PASSED
,,,,,,
Test Cases/TestCaseLoginAdmin,Chrome 66.0.3359.139,Test case for admin role,2018-05-10 16:47:18,2018-05-10 16:47:36,18.469s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:47:18,2018-05-10 16:47:23,5.052s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:47:23,2018-05-10 16:47:33,9.190s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:47:33,2018-05-10 16:47:33,0.454s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:47:33,2018-05-10 16:47:33,0.214s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:47:33,2018-05-10 16:47:33,0.182s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:47:33,2018-05-10 16:47:35,1.191s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:47:35,2018-05-10 16:47:35,0.264s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:47:35,2018-05-10 16:47:35,0.152s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:47:35,2018-05-10 16:47:36,1.071s,PASSED
,,,,,,
Test Cases/TestCaseIncorrectUserPass,Chrome 66.0.3359.139,Test case if there is no such user,2018-05-10 16:47:36,2018-05-10 16:47:49,13.132s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:47:37,2018-05-10 16:47:39,2.738s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:47:39,2018-05-10 16:47:47,7.297s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:47:47,2018-05-10 16:47:47,0.323s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:47:47,2018-05-10 16:47:47,0.234s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:47:47,2018-05-10 16:47:47,0.165s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:47:47,2018-05-10 16:47:49,1.175s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:47:49,2018-05-10 16:47:49,0.792s,PASSED
,,,,,,
Test Cases/TestCaseEmptyUser,Chrome 66.0.3359.139,,2018-05-10 16:47:49,2018-05-10 16:48:00,11.045s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:47:50,2018-05-10 16:47:52,2.700s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:47:52,2018-05-10 16:47:59,6.652s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:47:59,2018-05-10 16:47:59,0.290s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:47:59,2018-05-10 16:47:59,0.157s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:47:59,2018-05-10 16:47:59,0.146s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:47:59,2018-05-10 16:48:00,0.858s,PASSED
,,,,,,
Test Cases/TestCaseEmptyPassw,Chrome 66.0.3359.139,,2018-05-10 16:48:00,2018-05-10 16:48:11,10.908s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:48:01,2018-05-10 16:48:03,2.799s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:48:03,2018-05-10 16:48:10,6.298s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:48:10,2018-05-10 16:48:10,0.303s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:48:10,2018-05-10 16:48:10,0.230s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:48:10,2018-05-10 16:48:10,0.138s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:48:10,2018-05-10 16:48:11,0.822s,PASSED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 16:48:11,2018-05-10 16:48:24,13.036s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:48:12,2018-05-10 16:48:14,2.752s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:48:14,2018-05-10 16:48:21,7.038s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:48:21,2018-05-10 16:48:22,0.281s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:48:22,2018-05-10 16:48:22,0.203s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:48:22,2018-05-10 16:48:22,0.174s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:48:22,2018-05-10 16:48:23,1.187s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:48:23,2018-05-10 16:48:23,0.189s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:48:23,2018-05-10 16:48:24,0.121s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:48:24,2018-05-10 16:48:24,0.767s,PASSED
