Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteLogin,Chrome 66.0.3359.139,,2018-05-10 16:46:27,2018-05-10 16:46:42,14.959s,PASSED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 16:46:28,2018-05-10 16:46:42,14.263s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:46:28,2018-05-10 16:46:32,4.032s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:46:32,2018-05-10 16:46:39,6.291s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:46:39,2018-05-10 16:46:39,0.408s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:46:39,2018-05-10 16:46:39,0.224s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:46:39,2018-05-10 16:46:40,0.192s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:46:40,2018-05-10 16:46:41,1.201s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:46:41,2018-05-10 16:46:41,0.196s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:46:41,2018-05-10 16:46:41,0.161s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:46:41,2018-05-10 16:46:42,0.832s,PASSED
