Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteLogin,Chrome 66.0.3359.139,,2018-05-10 15:28:12,2018-05-10 15:28:32,20.500s,PASSED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 15:28:13,2018-05-10 15:28:32,19.784s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 15:28:13,2018-05-10 15:28:18,4.230s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 15:28:18,2018-05-10 15:28:29,11.183s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 15:28:29,2018-05-10 15:28:29,0.495s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 15:28:29,2018-05-10 15:28:29,0.242s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 15:28:29,2018-05-10 15:28:30,0.199s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 15:28:30,2018-05-10 15:28:31,1.183s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 15:28:31,2018-05-10 15:28:31,0.168s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 15:28:31,2018-05-10 15:28:31,0.151s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 15:28:31,2018-05-10 15:28:32,1.186s,PASSED
