Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteLogin,Chrome 66.0.3359.139,,2018-05-10 16:08:29,2018-05-10 16:08:45,15.881s,PASSED
,,,,,,
Test Cases/TestCaseEmptyPassw,Chrome 66.0.3359.139,,2018-05-10 16:08:30,2018-05-10 16:08:45,15.090s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:08:30,2018-05-10 16:08:36,5.335s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:08:36,2018-05-10 16:08:43,7.078s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:08:43,2018-05-10 16:08:43,0.394s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:08:43,2018-05-10 16:08:43,0.358s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:08:43,2018-05-10 16:08:44,0.242s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:08:44,2018-05-10 16:08:45,0.950s,PASSED
