Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteLogin,Chrome 66.0.3359.139,,2018-05-10 16:16:23,2018-05-10 16:18:19,1m - 55.684s,FAILED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 16:16:24,2018-05-10 16:16:41,17.334s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:16:25,2018-05-10 16:16:28,3.814s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:16:28,2018-05-10 16:16:37,8.875s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:16:37,2018-05-10 16:16:38,0.881s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:16:38,2018-05-10 16:16:39,0.337s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:16:39,2018-05-10 16:16:39,0.424s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:16:39,2018-05-10 16:16:40,0.781s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:16:40,2018-05-10 16:16:40,0.156s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:16:40,2018-05-10 16:16:40,0.160s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:16:40,2018-05-10 16:16:41,1.111s,PASSED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 16:16:41,2018-05-10 16:17:36,54.809s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:16:41,2018-05-10 16:16:43,2.123s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:16:43,2018-05-10 16:17:03,19.724s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:17:03,2018-05-10 16:17:03,0.332s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:17:03,2018-05-10 16:17:04,0.205s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:17:04,2018-05-10 16:17:04,0.160s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:17:04,2018-05-10 16:17:05,1.181s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:17:05,2018-05-10 16:17:36,31.042s,FAILED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 16:17:36,2018-05-10 16:18:18,42.049s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:17:36,2018-05-10 16:17:39,2.890s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:17:39,2018-05-10 16:17:46,7.285s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:17:46,2018-05-10 16:17:47,0.365s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:17:47,2018-05-10 16:17:47,0.216s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:17:47,2018-05-10 16:17:47,0.228s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:17:47,2018-05-10 16:18:18,31.034s,FAILED
