Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite2,Chrome 66.0.3359.139,contains other tests,2018-05-10 18:21:54,2018-05-10 18:22:43,49.073s,PASSED
,,,,,,
Test Cases/TestCaseAddToChart,Chrome 66.0.3359.139,"When the user enters the Products page, and clicked at the add to cart button, the button will\nbe changed to already added, and the number of selected products is shown next to the Carts\nmenu.",2018-05-10 18:21:54,2018-05-10 18:22:14,20.003s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 18:21:55,2018-05-10 18:22:00,4.996s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 18:22:00,2018-05-10 18:22:08,8.141s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 18:22:08,2018-05-10 18:22:09,0.967s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 18:22:09,2018-05-10 18:22:10,0.712s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 18:22:10,2018-05-10 18:22:10,0.210s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 18:22:10,2018-05-10 18:22:12,1.282s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 18:22:12,2018-05-10 18:22:12,0.110s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 18:22:12,2018-05-10 18:22:12,0.123s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 18:22:12,2018-05-10 18:22:12,0.148s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 18:22:12,2018-05-10 18:22:12,0.293s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 18:22:12,2018-05-10 18:22:12,0.107s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 18:22:12,2018-05-10 18:22:12,0.129s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 18:22:12,2018-05-10 18:22:13,0.110s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 18:22:13,2018-05-10 18:22:13,0.112s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 18:22:13,2018-05-10 18:22:13,0.124s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 18:22:13,2018-05-10 18:22:13,0.127s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 18:22:13,2018-05-10 18:22:13,0.133s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 18:22:13,2018-05-10 18:22:13,0.189s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 18:22:13,2018-05-10 18:22:13,0.142s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 18:22:13,2018-05-10 18:22:14,0.137s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 18:22:14,2018-05-10 18:22:14,0.115s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 18:22:14,2018-05-10 18:22:14,0.837s,PASSED
,,,,,,
