Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteLogin,Chrome 66.0.3359.139,,2018-05-10 16:20:08,2018-05-10 16:22:37,2m - 28.776s,FAILED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 16:20:09,2018-05-10 16:20:26,17.657s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:20:09,2018-05-10 16:20:14,4.860s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:20:14,2018-05-10 16:20:23,8.479s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:20:23,2018-05-10 16:20:23,0.594s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:20:23,2018-05-10 16:20:24,0.286s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:20:24,2018-05-10 16:20:24,0.220s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:20:24,2018-05-10 16:20:25,1.232s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:20:25,2018-05-10 16:20:25,0.293s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:20:25,2018-05-10 16:20:26,0.159s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:20:26,2018-05-10 16:20:26,0.872s,PASSED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 16:20:26,2018-05-10 16:20:58,31.748s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:20:26,2018-05-10 16:20:30,3.301s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:20:30,2018-05-10 16:20:39,9.407s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:20:39,2018-05-10 16:20:40,0.327s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:20:40,2018-05-10 16:20:40,0.219s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:20:40,2018-05-10 16:20:40,0.146s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:20:40,2018-05-10 16:20:41,1.183s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:20:41,2018-05-10 16:20:58,17.123s,FAILED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 16:20:58,2018-05-10 16:21:43,44.747s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:20:58,2018-05-10 16:21:02,3.876s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:21:02,2018-05-10 16:21:11,9.064s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:21:11,2018-05-10 16:21:12,0.397s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:21:12,2018-05-10 16:21:12,0.223s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:21:12,2018-05-10 16:21:12,0.140s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:21:12,2018-05-10 16:21:43,31.011s,FAILED
,,,,,,
Test Cases/TestCaseLoginAdmin,Chrome 66.0.3359.139,Test case for admin role,2018-05-10 16:21:43,2018-05-10 16:21:59,15.691s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:21:43,2018-05-10 16:21:47,3.250s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:21:47,2018-05-10 16:21:56,9.093s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:21:56,2018-05-10 16:21:56,0.338s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:21:56,2018-05-10 16:21:56,0.219s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:21:56,2018-05-10 16:21:56,0.152s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:21:56,2018-05-10 16:21:58,1.201s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:21:58,2018-05-10 16:21:58,0.159s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:21:58,2018-05-10 16:21:58,0.138s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:21:58,2018-05-10 16:21:59,0.799s,PASSED
,,,,,,
Test Cases/TestCaseIncorrectUserPass,Chrome 66.0.3359.139,Test case if there is no such user,2018-05-10 16:21:59,2018-05-10 16:22:12,13.396s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:21:59,2018-05-10 16:22:01,2.273s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:22:01,2018-05-10 16:22:09,7.995s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:22:09,2018-05-10 16:22:10,0.324s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:22:10,2018-05-10 16:22:10,0.258s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:22:10,2018-05-10 16:22:10,0.141s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:22:10,2018-05-10 16:22:11,1.222s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:22:11,2018-05-10 16:22:12,0.823s,PASSED
,,,,,,
Test Cases/TestCaseEmptyUser,Chrome 66.0.3359.139,,2018-05-10 16:22:12,2018-05-10 16:22:25,13.165s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:22:12,2018-05-10 16:22:15,2.626s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:22:15,2018-05-10 16:22:24,8.898s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:22:24,2018-05-10 16:22:24,0.288s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:22:24,2018-05-10 16:22:24,0.152s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:22:24,2018-05-10 16:22:25,0.109s,PASSED
