Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteLogin,Chrome 66.0.3359.139,,2018-05-10 16:37:13,2018-05-10 16:39:20,2m - 6.455s,FAILED
,,,,,,
Test Cases/TestCaseLoginAdmin,Chrome 66.0.3359.139,Test case for admin role,2018-05-10 16:37:14,2018-05-10 16:37:38,24.230s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:37:15,2018-05-10 16:37:20,5.111s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:37:20,2018-05-10 16:37:35,14.896s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:37:35,2018-05-10 16:37:35,0.427s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:37:35,2018-05-10 16:37:36,0.387s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:37:36,2018-05-10 16:37:36,0.217s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:37:36,2018-05-10 16:37:37,1.163s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:37:37,2018-05-10 16:37:37,0.211s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:37:37,2018-05-10 16:37:37,0.136s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:37:37,2018-05-10 16:37:38,0.840s,PASSED
,,,,,,
Test Cases/TestCaseIncorrectUserPass,Chrome 66.0.3359.139,Test case if there is no such user,2018-05-10 16:37:38,2018-05-10 16:37:52,13.869s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:37:39,2018-05-10 16:37:42,3.640s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:37:42,2018-05-10 16:37:49,7.054s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:37:49,2018-05-10 16:37:50,0.359s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:37:50,2018-05-10 16:37:50,0.284s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:37:50,2018-05-10 16:37:50,0.193s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:37:50,2018-05-10 16:37:51,1.144s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:37:51,2018-05-10 16:37:52,0.785s,PASSED
,,,,,,
Test Cases/TestCaseEmptyUser,Chrome 66.0.3359.139,,2018-05-10 16:37:52,2018-05-10 16:38:08,15.806s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:37:52,2018-05-10 16:37:55,2.415s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:37:55,2018-05-10 16:38:06,11.565s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:38:06,2018-05-10 16:38:07,0.338s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:38:07,2018-05-10 16:38:07,0.152s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:38:07,2018-05-10 16:38:07,0.198s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:38:07,2018-05-10 16:38:08,0.826s,PASSED
,,,,,,
Test Cases/TestCaseEmptyPassw,Chrome 66.0.3359.139,,2018-05-10 16:38:08,2018-05-10 16:38:19,11.125s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:38:08,2018-05-10 16:38:11,2.455s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:38:11,2018-05-10 16:38:17,6.889s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:38:17,2018-05-10 16:38:18,0.298s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:38:18,2018-05-10 16:38:18,0.167s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:38:18,2018-05-10 16:38:18,0.234s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:38:18,2018-05-10 16:38:19,0.816s,PASSED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 16:38:19,2018-05-10 16:38:31,12.270s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:38:19,2018-05-10 16:38:21,2.087s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:38:21,2018-05-10 16:38:28,6.890s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:38:28,2018-05-10 16:38:29,0.264s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:38:29,2018-05-10 16:38:29,0.191s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:38:29,2018-05-10 16:38:29,0.155s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:38:29,2018-05-10 16:38:30,1.207s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:38:30,2018-05-10 16:38:30,0.190s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:38:30,2018-05-10 16:38:30,0.120s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:38:30,2018-05-10 16:38:31,0.799s,PASSED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 16:38:31,2018-05-10 16:39:14,42.745s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:38:31,2018-05-10 16:38:33,2.113s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:38:33,2018-05-10 16:38:43,9.419s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:38:43,2018-05-10 16:38:43,0.273s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:38:43,2018-05-10 16:38:43,0.230s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:38:43,2018-05-10 16:38:43,0.171s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:38:43,2018-05-10 16:38:45,1.232s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:38:45,2018-05-10 16:39:14,29.286s,FAILED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 16:39:14,2018-05-10 16:39:20,5.652s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:39:14,2018-05-10 16:39:20,5.628s,FAILED
