Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteLogin,Chrome 66.0.3359.139,,2018-05-10 15:45:29,2018-05-10 15:45:49,20.525s,PASSED
,,,,,,
Test Cases/TestCaseLoginAdmin,Chrome 66.0.3359.139,Test case for admin role,2018-05-10 15:45:30,2018-05-10 15:45:49,19.800s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 15:45:30,2018-05-10 15:45:34,3.850s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 15:45:34,2018-05-10 15:45:46,11.606s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 15:45:46,2018-05-10 15:45:46,0.716s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 15:45:46,2018-05-10 15:45:47,0.262s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 15:45:47,2018-05-10 15:45:47,0.170s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 15:45:47,2018-05-10 15:45:48,1.219s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 15:45:48,2018-05-10 15:45:48,0.195s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 15:45:48,2018-05-10 15:45:48,0.178s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 15:45:48,2018-05-10 15:45:49,0.855s,PASSED
