Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite2,Chrome 66.0.3359.139,contains other tests,2018-05-10 22:25:57,2018-05-10 22:27:04,1m - 7.083s,PASSED
,,,,,,
Test Cases/TestCaseAddToChart,Chrome 66.0.3359.139,"When the user enters the Products page, and clicked at the add to cart button, the button will\nbe changed to already added, and the number of selected products is shown next to the Carts\nmenu.",2018-05-10 22:25:58,2018-05-10 22:26:14,15.931s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:25:59,2018-05-10 22:26:04,5.311s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:26:04,2018-05-10 22:26:09,4.762s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:26:09,2018-05-10 22:26:09,0.411s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:26:09,2018-05-10 22:26:09,0.198s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:09,2018-05-10 22:26:10,0.231s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:10,2018-05-10 22:26:11,1.232s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:11,2018-05-10 22:26:11,0.105s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:11,2018-05-10 22:26:11,0.108s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:11,2018-05-10 22:26:11,0.149s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:11,2018-05-10 22:26:11,0.161s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:11,2018-05-10 22:26:11,0.111s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:11,2018-05-10 22:26:12,0.140s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:12,2018-05-10 22:26:12,0.164s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:12,2018-05-10 22:26:12,0.112s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:12,2018-05-10 22:26:12,0.105s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:12,2018-05-10 22:26:12,0.115s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:12,2018-05-10 22:26:12,0.117s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:12,2018-05-10 22:26:12,0.134s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:12,2018-05-10 22:26:13,0.259s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:13,2018-05-10 22:26:13,0.102s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:13,2018-05-10 22:26:13,0.128s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:26:13,2018-05-10 22:26:14,1.031s,PASSED
,,,,,,
Test Cases/TestCaseChartPage,Chrome 66.0.3359.139,"---- After selecting the products, if the user moves to the Carts page, all           the selected products is\n          shown in the cart page. The user can change the amount of                      products for each type of product,\n          and the total price will be changed regarding to the input value.\no  If the user clicks confirm button, the transaction will be added",2018-05-10 22:26:14,2018-05-10 22:26:29,14.635s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:26:14,2018-05-10 22:26:16,2.145s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:26:16,2018-05-10 22:26:22,5.448s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:26:22,2018-05-10 22:26:22,0.315s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:26:22,2018-05-10 22:26:22,0.201s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:22,2018-05-10 22:26:23,0.239s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:23,2018-05-10 22:26:24,1.213s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:24,2018-05-10 22:26:24,0.113s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:24,2018-05-10 22:26:24,0.189s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:24,2018-05-10 22:26:24,0.137s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:24,2018-05-10 22:26:24,0.167s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:26:24,2018-05-10 22:26:25,0.137s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:26:25,2018-05-10 22:26:25,0.258s,PASSED
