Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteLogin,Chrome 66.0.3359.139,,2018-05-10 16:30:55,2018-05-10 16:33:35,2m - 40.016s,FAILED
,,,,,,
Test Cases/TestCaseLoginAdmin,Chrome 66.0.3359.139,Test case for admin role,2018-05-10 16:30:55,2018-05-10 16:31:16,20.509s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:30:56,2018-05-10 16:31:00,4.520s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:31:00,2018-05-10 16:31:13,12.049s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:31:13,2018-05-10 16:31:13,0.395s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:31:13,2018-05-10 16:31:13,0.230s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:31:13,2018-05-10 16:31:13,0.167s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:31:13,2018-05-10 16:31:15,1.205s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:31:15,2018-05-10 16:31:15,0.204s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:31:15,2018-05-10 16:31:15,0.142s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:31:15,2018-05-10 16:31:16,0.843s,PASSED
,,,,,,
Test Cases/TestCaseIncorrectUserPass,Chrome 66.0.3359.139,Test case if there is no such user,2018-05-10 16:31:16,2018-05-10 16:31:31,15.641s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:31:16,2018-05-10 16:31:19,2.705s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:31:19,2018-05-10 16:31:29,9.803s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:31:29,2018-05-10 16:31:29,0.350s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:31:29,2018-05-10 16:31:29,0.204s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:31:29,2018-05-10 16:31:29,0.134s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:31:29,2018-05-10 16:31:31,1.169s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:31:31,2018-05-10 16:31:31,0.849s,PASSED
,,,,,,
Test Cases/TestCaseEmptyUser,Chrome 66.0.3359.139,,2018-05-10 16:31:31,2018-05-10 16:31:45,13.143s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:31:32,2018-05-10 16:31:35,3.525s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:31:35,2018-05-10 16:31:43,7.963s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:31:43,2018-05-10 16:31:43,0.265s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:31:43,2018-05-10 16:31:44,0.167s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:31:44,2018-05-10 16:31:44,0.156s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:31:44,2018-05-10 16:31:45,0.819s,PASSED
,,,,,,
Test Cases/TestCaseEmptyPassw,Chrome 66.0.3359.139,,2018-05-10 16:31:45,2018-05-10 16:31:57,12.178s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:31:45,2018-05-10 16:31:48,2.751s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:31:48,2018-05-10 16:31:55,7.637s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:31:55,2018-05-10 16:31:56,0.273s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:31:56,2018-05-10 16:31:56,0.220s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:31:56,2018-05-10 16:31:56,0.184s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:31:56,2018-05-10 16:31:57,0.791s,PASSED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 16:31:57,2018-05-10 16:32:09,12.344s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:31:57,2018-05-10 16:32:00,2.512s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:32:00,2018-05-10 16:32:06,6.260s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:32:06,2018-05-10 16:32:06,0.301s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:32:06,2018-05-10 16:32:06,0.200s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:32:06,2018-05-10 16:32:07,0.178s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:32:07,2018-05-10 16:32:08,1.188s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:32:08,2018-05-10 16:32:08,0.169s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:32:08,2018-05-10 16:32:08,0.152s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:32:08,2018-05-10 16:32:09,1.023s,PASSED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 16:32:09,2018-05-10 16:32:51,41.998s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:32:09,2018-05-10 16:32:12,2.598s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:32:12,2018-05-10 16:32:18,6.427s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:32:18,2018-05-10 16:32:18,0.352s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:32:18,2018-05-10 16:32:19,0.194s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:32:19,2018-05-10 16:32:19,0.170s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:32:19,2018-05-10 16:32:20,1.214s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:32:20,2018-05-10 16:32:51,31.024s,FAILED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 16:32:51,2018-05-10 16:33:34,42.664s,FAILED
